Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
billionaire,Billionaire Noir,"<p>A commanding woody amber built for memorable entrances.</p><p><strong>Profile:</strong> Woody · Eau de Parfum · Unisex</p><p><strong>Notes:</strong> Bergamot and black pepper; cedarwood and patchouli; amber and musk.</p><p><strong>Longevity:</strong> 8–10 hours</p><p>A study in ambition, polished woods and warm amber.</p>",Amidaddy,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",Eau de Parfum,"unisex,woody,bestseller,featured",FALSE,Size,20ml,AMI-BILLIONAIRE-20,300,shopify,40,deny,manual,199.00,249.00,TRUE,TRUE,,,,FALSE,Billionaire Noir Eau de Parfum,"A commanding unisex woody amber fragrance with bergamot, cedarwood, amber and musk.",draft
billionaire,,,,,,,,Size,100ml,AMI-BILLIONAIRE-100,500,shopify,20,deny,manual,1199.00,1499.00,TRUE,TRUE,,,,,,,,draft
coldwar,Cold War,"<p>Icy freshness and clean musk with a precise, energetic finish.</p><p><strong>Profile:</strong> Fresh · Eau de Parfum · Unisex</p><p><strong>Notes:</strong> Mint and bergamot; pepper and lavender; clean musk and cedar.</p><p><strong>Longevity:</strong> 6–8 hours</p><p>A bright collision of cool air, mineral spice and clean woods.</p>",Amidaddy,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",Eau de Parfum,"unisex,fresh,new,featured",FALSE,Size,20ml,AMI-COLDWAR-20,300,shopify,40,deny,manual,199.00,249.00,TRUE,TRUE,,,,FALSE,Cold War Eau de Parfum,"A fresh unisex fragrance with mint, bergamot, lavender, clean musk and cedar.",draft
coldwar,,,,,,,,Size,100ml,AMI-COLDWAR-100,500,shopify,20,deny,manual,1199.00,1499.00,TRUE,TRUE,,,,,,,,draft
heavenly,Heavenly,"<p>A luminous floral musk that moves softly from day into evening.</p><p><strong>Profile:</strong> Floral · Eau de Parfum · Unisex</p><p><strong>Notes:</strong> Pear and neroli; white florals and iris; soft musk and sandalwood.</p><p><strong>Longevity:</strong> 7–9 hours</p><p>Weightless florals settle into a graceful skin-like musk.</p>",Amidaddy,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",Eau de Parfum,"unisex,floral,featured",FALSE,Size,20ml,AMI-HEAVENLY-20,300,shopify,40,deny,manual,199.00,249.00,TRUE,TRUE,,,,FALSE,Heavenly Eau de Parfum,"A luminous unisex floral musk with pear, neroli, white florals, iris and sandalwood.",draft
heavenly,,,,,,,,Size,100ml,AMI-HEAVENLY-100,500,shopify,20,deny,manual,1199.00,1499.00,TRUE,TRUE,,,,,,,,draft
old-love,Old Love,"<p>Warm vanilla, saffron and resin composed with nostalgic depth.</p><p><strong>Profile:</strong> Amber · Eau de Parfum · Unisex</p><p><strong>Notes:</strong> Saffron and pink pepper; rose and warm resin; vanilla and amber woods.</p><p><strong>Longevity:</strong> 8–9 hours</p><p>A familiar warmth reimagined as amber light on skin.</p>",Amidaddy,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",Eau de Parfum,"unisex,amber,limited,featured",FALSE,Size,20ml,AMI-OLD-LOVE-20,300,shopify,40,deny,manual,199.00,249.00,TRUE,TRUE,,,,FALSE,Old Love Eau de Parfum,"A warm unisex amber fragrance with saffron, rose, vanilla, resin and amber woods.",draft
old-love,,,,,,,,Size,100ml,AMI-OLD-LOVE-100,500,shopify,20,deny,manual,1199.00,1499.00,TRUE,TRUE,,,,,,,,draft
signature-combo-20ml,Signature Discovery Combo,"<p>All four Amidaddy fragrances together in travel-ready 20 ml bottles.</p><p>Cold War, Heavenly, Old Love and Billionaire Noir: four moods, four bottles, one considered set.</p>",Amidaddy,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",Fragrance Set,"unisex,combo,gifting,new,featured",FALSE,Size,4 × 20ml,AMI-COMBO-20-20,1200,shopify,20,deny,manual,699.00,996.00,TRUE,TRUE,,,,FALSE,Signature Discovery Combo,"Discover all four Amidaddy fragrances in a travel-ready set of four 20 ml bottles.",draft
signature-combo-100ml,Signature Collection Combo,"<p>The complete Amidaddy collection with all four fragrances in 100 ml bottles.</p><p>Four full-size signatures composed for every side of your presence.</p>",Amidaddy,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",Fragrance Set,"unisex,combo,gifting,new,featured",FALSE,Size,4 × 100ml,AMI-COMBO-100-100,3000,shopify,12,deny,manual,4299.00,5996.00,TRUE,TRUE,,,,FALSE,Signature Collection Combo,"The complete Amidaddy collection with all four signature fragrances in 100 ml bottles.",draft
